,Country,Wins,Gold,Silver,Bronze,Loss
344,Toronto Argonauts,2,1,1,0,2
345,England-1,1,1,0,0,1
346,Hungaria Evezos Egylet,0,0,0,0,1
347,Poland-1,0,0,0,0,2
348,Macedonia,0,0,0,0,19
349,Bohemia,0,0,0,0,14
350,Argonaut Rowing Club,0,0,0,0,1
351,"Life boat naval ship ""Spetsai""-1",0,0,0,0,3
352,Australia-1,2,1,1,0,7
353,Tonga,0,0,0,0,1
354,Nigeria-1,0,0,0,0,2
355,Fortuna,0,0,0,0,1
356,Starlight III,0,0,0,0,1
357,Liechtenstein,0,0,0,0,68
358,Pan,0,0,0,0,2
359,Montenegro,4,4,0,0,13
360,Leander Club-2,0,0,0,0,1
361,"Lemzos Thorichton ""Psara""-3",0,0,0,0,2
362,London City Police-1,0,0,0,0,1
363,Great Britain-3,2,2,0,0,4
364,Sabre,0,0,0,0,2
365,Firebird II,0,0,0,0,2
366,Berliner Ruderverein von 1876-2,0,0,0,0,4
367,Christian Brothers' College-1,0,0,0,0,4
368,Czechoslovakia-1,0,0,0,0,3
369,Czechoslovakia-2,0,0,0,0,4
370,"Passaic Turnverein, Passaic",0,0,0,0,1
371,Primorka,0,0,0,0,1
372,Gambia,0,0,0,0,8
373,Racing Club de France,0,0,0,0,6
374,Grifo III,0,0,0,0,1
375,Grifo IV,0,0,0,0,2
376,Bingo,0,0,0,0,1
377,Damoiselle IV,0,0,0,0,2
378,Crabe II-12,0,0,0,0,1
379,Nina Claire-30,0,0,0,0,3
380,Crabe II-1,0,0,0,0,1
381,Crabe II-4,0,0,0,0,1
382,Nina Claire-2,3,3,0,0,3
383,Qu'Importe,0,0,0,0,3
384,Konstanz,0,0,0,0,1
385,Suzy-2,0,0,0,0,2
386,Mouchette-2,0,0,0,0,2
387,Dansk Idrts Forbund,0,0,0,0,4
388,Marmara,0,0,0,0,1
389,Moseley Wanderers,0,0,0,0,5
390,Chicago Athletic Association-2,0,0,0,0,1
391,Devon and Somerset Wanderers,0,0,0,0,9
392,Unified Team-2,1,1,0,0,1
393,Mistral Hojris,0,0,0,0,1
394,Cook Islands,0,0,0,0,3
395,Mauritius-2,0,0,0,0,2
396,Albania,0,0,0,0,11
397,Romania-1,0,0,0,0,11
398,Pampero,0,0,0,0,4
399,Israel-2,0,0,0,0,1
400,Symphony,0,0,0,0,2
401,Sjhxa,0,0,0,0,2
402,Faneca,0,0,0,0,3
403,Ciocca III,0,0,0,0,2
404,"Marinai della nave da guerra ""Varese""",1,1,0,0,2
405,Lalage,0,0,0,0,2
406,Gallia II,0,0,0,0,2
407,Dinah V,0,0,0,0,1
408,Czech Republic-2,0,0,0,0,8
409,Nora,0,0,0,0,2
410,Monica,0,0,0,0,1
411,Kullan,0,0,0,0,1
412,Shoveller,0,0,0,0,2
413,Amateur Athletic Association,0,0,0,0,1
414,Circus,0,0,0,0,2
415,Aletta,0,0,0,0,1
416,Widgeon,0,0,0,0,1
417,Inca,0,0,0,0,2
418,Czech Republic-1,0,0,0,0,8
419,Relampago,0,0,0,0,1
420,Foxhunters Hurlingham,0,0,0,0,2
421,Thames Rowing Club,0,0,0,0,2
422,"Davenport Turngemeinde, Davenport",0,0,0,0,1
423,"Norwegier Turnverein, Brooklyn",0,0,0,0,1
424,Erna Signe,0,0,0,0,4
425,Sirene,0,0,0,0,1
426,Socit Nautique de Bayonne-2,1,1,0,0,1
427,Socit Nautique de Bayonne-1,0,0,0,0,1
428,Anitra,0,0,0,0,2
429,Snude,0,0,0,0,3
430,White Lady,0,0,0,0,1
431,Web II,0,0,0,0,2
432,Web III,0,0,0,0,1
433,Italy-3,0,0,0,0,2
434,Pistoja/Firenze,0,0,0,0,2
435,West Indies Federation,0,0,0,0,3
436,Posillipo III,0,0,0,0,1
437,Tritons Lillois-2,2,2,0,0,3
438,"Turnverein Vorwrts, Cleveland",0,0,0,0,1
439,Club Nautique de Franais-1,0,0,0,0,2
440,Monaco-1,0,0,0,0,1
441,Boreas-2,0,0,0,0,1
442,Peri,0,0,0,0,2
443,"New York Turnverein, New York",0,0,0,0,2
444,Tichiboo,0,0,0,0,1
445,Siames-Cat,0,0,0,0,2
446,Swaziland,0,0,0,0,13
447,India-1,0,0,0,0,2
448,Italia,0,0,0,0,2
449,Ausonia,0,0,0,0,3
450,Angelita,3,3,0,0,7
451,Burkina Faso,0,0,0,0,1
452,Nortazo,0,0,0,0,1
453,Tom Kyle,0,0,0,0,1
454,Tilly,0,0,0,0,1
455,Esterel-1,0,0,0,0,1
456,North Borneo,0,0,0,0,2
457,Wiking,0,0,0,0,1
458,Buraddoo,1,1,0,0,1
459,Heroine,0,0,0,0,2
460,Burundi,0,0,0,0,1
461,Chok,0,0,0,0,1
462,Atlanta,0,0,0,0,3
463,Germania II,0,0,0,0,1
464,Wannsee,0,0,0,0,1
465,Polyteknisk Roklub-1,0,0,0,0,2
466,Aruba,0,0,0,0,5
467,Buscape II,0,0,0,0,2
468,Nina,0,0,0,0,3
469,Norway-3,0,0,0,0,1
470,Kristiania Roklub-1,0,0,0,0,1
471,Kristiania Roklub,0,0,0,0,1
472,Ormsund Roklub-2,0,0,0,0,1
473,Chuckles,0,0,0,0,1
474,South Africa-2,0,0,0,0,2
475,Chinese Taipei,16,8,6,2,281
476,Winnipeg Shamrocks-1,0,0,0,0,7
477,Olle,1,1,0,0,2
478,United States-10,0,0,0,0,1
479,Camelia,0,0,0,0,3
480,Aschenbrodel,0,0,0,0,1
481,Whitini Star,0,0,0,0,1
482,Puerto Rico-1,0,0,0,0,1
483,Bera,0,0,0,0,1
484,Netherlands-2,0,0,0,0,2
485,Slaghoken,0,0,0,0,2
486,Slaghoken II,0,0,0,0,1
487,Great Britain/Germany,0,0,0,0,1
488,Nikh,0,0,0,0,2
489,Swift,0,0,0,0,1
490,Andorinha,0,0,0,0,1
491,Unified Team-1,1,1,0,0,2
492,Cupidon III,0,0,0,0,2
